[2025-10-20 18:02:31] local.INFO: === INICIO IMPORTAR ARCHIVO ===  
[2025-10-20 18:02:31] local.INFO: Método: POST  
[2025-10-20 18:02:31] local.INFO: Content-Type: multipart/form-data; boundary=----WebKitFormBoundary21L0LPw3hCjK4nIE  
[2025-10-20 18:02:31] local.INFO: Archivos recibidos: {"archivo":{}}  
[2025-10-20 18:02:31] local.INFO: Todos los inputs: {"_token":"AtYWsgrcFNo7TXgOieKdvdF8HqnKUil7ZsfY9il7","import_type":"sin_fconversion","archivo":{}}  
[2025-10-20 18:02:31] local.INFO: Configuración PHP:  
[2025-10-20 18:02:31] local.INFO: - upload_max_filesize: 200M  
[2025-10-20 18:02:31] local.INFO: - post_max_size: 200M  
[2025-10-20 18:02:31] local.INFO: - max_file_uploads: 20  
[2025-10-20 18:02:31] local.INFO: - memory_limit: 1024M  
[2025-10-20 18:02:31] local.INFO: - max_execution_time: 0  
[2025-10-20 18:02:31] local.INFO: Detalles del archivo recibido:  
[2025-10-20 18:02:31] local.INFO: - Nombre original: FormatoEntradasSinFconversion.xlsx  
[2025-10-20 18:02:31] local.INFO: - Extensión: xlsx  
[2025-10-20 18:02:31] local.INFO: - Tamaño: 1692648 bytes  
[2025-10-20 18:02:31] local.INFO: - MIME type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet  
[2025-10-20 18:02:31] local.INFO: - Es válido: true  
[2025-10-20 18:02:31] local.INFO: Validación de extensión pasada: xlsx  
[2025-10-20 18:02:31] local.INFO: Validación pasada correctamente  
[2025-10-20 18:02:31] local.INFO: Ruta real del archivo: C:\xampp7\tmp\php8C4E.tmp  
[2025-10-20 18:02:31] local.INFO: Tipo de importación solicitado: sin_fconversion  
[2025-10-20 18:02:31] local.INFO: Procesando archivo: FormatoEntradasSinFconversion.xlsx - Extensión: xlsx - MIME: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet  
[2025-10-20 18:02:34] local.INFO: Iniciando importación sin Fconversion. Filas detectadas: 24652  
[2025-10-20 18:02:34] local.WARNING: Fila 118: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 119: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 120: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 121: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 122: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 123: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 124: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 125: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 126: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 127: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 128: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 129: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 130: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 131: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 132: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 133: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 134: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 135: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 136: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 137: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 138: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 139: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 140: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 141: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 142: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 143: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 144: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 145: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 146: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 147: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 148: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 149: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 150: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 151: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 152: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 153: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 154: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 155: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 156: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 157: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 158: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 159: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 160: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 161: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 162: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 163: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 164: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 165: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 166: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 167: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 168: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 169: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 170: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 171: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 172: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 173: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 174: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 175: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 176: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 177: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 178: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 179: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 180: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 181: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 182: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 183: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 184: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 185: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 186: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 187: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 188: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 189: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 190: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 191: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 192: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 193: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 194: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 195: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 196: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 197: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 198: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 199: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 200: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 201: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 202: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 203: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 204: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 205: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 206: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 207: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 208: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 209: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 210: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 211: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 212: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 213: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 214: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 215: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 216: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 217: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 218: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 219: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 220: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 221: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 222: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 223: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 224: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 225: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 226: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 227: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 228: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 229: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 230: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 231: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 232: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 233: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 234: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 235: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 236: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 237: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 238: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 239: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 240: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 241: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 242: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 243: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 244: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 245: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 246: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 247: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 248: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 249: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 250: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 251: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 252: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 253: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 254: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 255: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 256: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 257: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 258: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 259: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 260: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 261: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 262: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 263: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 264: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 265: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 266: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 267: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 268: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 269: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 270: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 271: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 272: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 273: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 274: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 275: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 276: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 277: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 278: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 279: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 280: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 281: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 282: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 283: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 284: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 285: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 286: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 287: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 288: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 289: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 290: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 291: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 292: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 293: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 294: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 295: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 296: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 297: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 298: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 299: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 300: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 301: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 302: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 303: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 304: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 305: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 306: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 307: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 308: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 309: formato de mes inválido ''  
